# x	y	u	v	mask
  0.0725	  5.2217	     nan	     nan	  1.0000
  0.1450	  5.2217	     nan	     nan	  1.0000
  0.2176	  5.2217	     nan	     nan	  1.0000
  0.2901	  5.2217	     nan	     nan	  1.0000
  0.3626	  5.2217	     nan	     nan	  1.0000
  0.4351	  5.2217	     nan	     nan	  1.0000
  0.5077	  5.2217	     nan	     nan	  1.0000
  0.5802	  5.2217	     nan	     nan	  1.0000
  0.6527	  5.2217	     nan	     nan	  1.0000
  0.7252	  5.2217	     nan	     nan	  1.0000
  0.7978	  5.2217	     nan	     nan	  1.0000
  0.8703	  5.2217	     nan	     nan	  1.0000
  0.9428	  5.2217	     nan	     nan	  1.0000
  1.0153	  5.2217	     nan	     nan	  1.0000
  1.0879	  5.2217	     nan	     nan	  1.0000
  1.1604	  5.2217	     nan	     nan	  1.0000
  1.2329	  5.2217	     nan	     nan	  1.0000
  1.3054	  5.2217	     nan	     nan	  1.0000
  1.3780	  5.2217	     nan	     nan	  1.0000
  1.4505	  5.2217	     nan	     nan	  1.0000
  1.5230	  5.2217	     nan	     nan	  1.0000
  1.5955	  5.2217	     nan	     nan	  1.0000
  1.6680	  5.2217	     nan	     nan	  1.0000
  1.7406	  5.2217	     nan	     nan	  1.0000
  1.8131	  5.2217	     nan	     nan	  1.0000
  1.8856	  5.2217	     nan	     nan	  1.0000
  1.9581	  5.2217	     nan	     nan	  1.0000
  2.0307	  5.2217	     nan	     nan	  1.0000
  2.1032	  5.2217	     nan	     nan	  1.0000
  2.1757	  5.2217	     nan	     nan	  1.0000
  2.2482	  5.2217	     nan	     nan	  1.0000
  2.3208	  5.2217	     nan	     nan	  1.0000
  2.3933	  5.2217	     nan	     nan	  1.0000
  2.4658	  5.2217	     nan	     nan	  1.0000
  2.5383	  5.2217	     nan	     nan	  1.0000
  2.6109	  5.2217	     nan	     nan	  1.0000
  2.6834	  5.2217	     nan	     nan	  1.0000
  2.7559	  5.2217	     nan	     nan	  1.0000
  2.8284	  5.2217	     nan	     nan	  1.0000
  2.9010	  5.2217	     nan	     nan	  1.0000
  2.9735	  5.2217	     nan	     nan	  1.0000
  3.0460	  5.2217	     nan	     nan	  1.0000
  3.1185	  5.2217	     nan	     nan	  1.0000
  3.1910	  5.2217	     nan	     nan	  1.0000
  3.2636	  5.2217	     nan	     nan	  1.0000
  3.3361	  5.2217	     nan	     nan	  1.0000
  3.4086	  5.2217	     nan	     nan	  1.0000
  3.4811	  5.2217	     nan	     nan	  1.0000
  3.5537	  5.2217	     nan	     nan	  1.0000
  3.6262	  5.2217	     nan	     nan	  1.0000
  3.6987	  5.2217	     nan	     nan	  1.0000
  3.7712	  5.2217	     nan	     nan	  1.0000
  3.8438	  5.2217	     nan	     nan	  1.0000
  3.9163	  5.2217	     nan	     nan	  1.0000
  3.9888	  5.2217	     nan	     nan	  1.0000
  4.0613	  5.2217	     nan	     nan	  1.0000
  4.1339	  5.2217	     nan	     nan	  1.0000
  4.2064	  5.2217	     nan	     nan	  1.0000
  4.2789	  5.2217	     nan	     nan	  1.0000
  4.3514	  5.2217	     nan	     nan	  1.0000
  4.4240	  5.2217	     nan	     nan	  1.0000
  4.4965	  5.2217	     nan	     nan	  1.0000
